Date,SPX Index,US 10 yr yield,Eurostoxx 50,FTSE 100,GBPUSD,GBPEUR,EURUSD,Stock 1
1/4/2000,1399.42,6.497,4657.83,6665.9,1.636,1.5943,1.028,690.177
1/5/2000,1402.11,6.594,4541.75,6535.9,1.6426,1.5831,1.0367,690.177
1/6/2000,1403.45,6.524,4500.69,6447.2,1.6474,1.5896,1.0352,667.52
1/7/2000,1441.47,6.515,4648.27,6504.8,1.6393,1.5964,1.0295,672.749
1/10/2000,1457.6,6.552,4714.03,6607.7,1.6374,1.5991,1.0243,675.799
1/11/2000,1438.56,6.657,4671.5,6518.9,1.6475,1.5954,1.0303,654.448
1/12/2000,1432.25,6.703,4649.3,6532.8,1.6466,1.5938,1.0337,666.649
1/13/2000,1449.68,6.63,4688.35,6531.5,1.6472,1.5968,1.0302,662.727
1/14/2000,1465.15,6.679,4829.36,6658.2,1.6313,1.604,1.0122,662.291
1/17/2000,1465.15,6.681,4884.5,6669.5,1.6333,1.6169,1.0119,659.241
1/18/2000,1455.14,6.748,4761,6504.6,1.6379,1.6201,1.0081,649.656
1/19/2000,1455.9,6.732,4768.37,6445.4,1.645,1.621,1.0104,631.355
1/20/2000,1445.57,6.788,4778.71,6348.7,1.6537,1.6302,1.0094,603.034
1/21/2000,1441.36,6.765,4719.29,6346.3,1.6487,1.6314,1.0098,630.048
1/24/2000,1401.53,6.685,4718.76,6379.8,1.6531,1.6462,1.0049,624.82
1/25/2000,1410.03,6.692,4653.61,6274.1,1.6452,1.6394,1.0036,614.362
1/26/2000,1404.09,6.664,4721.03,6375.6,1.6403,1.64,1.0029,627.434
1/27/2000,1398.56,6.692,4786.82,6441,1.6396,1.6359,1.0006,652.27
1/28/2000,1360.16,6.658,4781.94,6375.6,1.6201,1.651,0.9747,640.07
1/31/2000,1394.46,6.665,4684.48,6268.5,1.6162,1.6548,0.9816,630.484
2/1/2000,1409.28,6.619,4792.04,6290.9,1.615,1.6641,0.9687,625.691
2/2/2000,1409.12,6.573,4902.12,6302.8,1.6088,1.6567,0.9717,621.77
2/3/2000,1424.97,6.489,5046.12,6324.3,1.5972,1.6451,0.9733,639.634
2/4/2000,1424.37,6.549,5119.79,6185,1.5918,1.6124,0.9832,607.391
2/7/2000,1424.24,6.639,5041.08,6118.6,1.598,1.6268,0.9808,609.569
2/8/2000,1441.72,6.613,5176.17,6285.8,1.6113,1.6255,0.9864,624.384
2/9/2000,1411.7,6.66,5191.79,6315.4,1.6169,1.6271,0.9905,621.77
2/10/2000,1416.83,6.671,5174.35,6279.8,1.6097,1.627,0.9902,613.055
2/11/2000,1387.12,6.604,5195.67,6193.3,1.5936,1.6265,0.9875,596.062
2/14/2000,1389.94,6.554,5166.08,6068.6,1.588,1.6066,0.9905,601.727
2/15/2000,1402.05,6.552,5043.33,6005.2,1.596,1.6169,0.9804,616.977
2/16/2000,1387.67,6.545,5063.73,6147.4,1.6077,1.6321,0.9807,654.013
2/17/2000,1388.26,6.567,5114.47,6209.3,1.609,1.622,0.9938,656.191
2/18/2000,1346.09,6.489,5079.59,6165,1.6013,1.6287,0.9839,625.255
2/21/2000,1346.09,6.493,5033.33,6081.6,1.6005,1.6217,0.9871,613.491
2/22/2000,1352.17,6.361,5024.05,6014.7,1.6126,1.6098,0.998,593.884
2/23/2000,1360.69,6.422,5086,6144.1,1.6039,1.6008,1.0051,614.798
2/24/2000,1353.43,6.365,5117.41,6086.7,1.6003,1.6074,0.9959,625.691
2/25/2000,1333.36,6.326,5208.87,6198,1.5953,1.6151,0.9749,630.048
2/28/2000,1348.05,6.422,5126.33,6099.6,1.5958,1.6411,0.9682,627.434
2/29/2000,1366.42,6.409,5182.62,6232.6,1.5792,1.6337,0.9746,642.684
3/1/2000,1379.19,6.386,5235.14,6364.9,1.5854,1.6365,0.9693,626.998
3/2/2000,1381.76,6.384,5406.37,6432.1,1.5766,1.6316,0.9705,616.977
3/3/2000,1409.17,6.388,5450.22,6487.5,1.5778,1.6352,0.9586,614.798
3/6/2000,1391.28,6.411,5464.43,6567.8,1.5749,1.634,0.966,599.984
3/7/2000,1355.62,6.373,5426.36,6466.5,1.5804,1.6381,0.9613,599.984
3/8/2000,1366.7,6.379,5364.52,6411.2,1.5817,1.6504,0.9556,612.184
3/9/2000,1401.69,6.343,5352.88,6532.1,1.5827,1.6402,0.9634,614.362
3/10/2000,1395.07,6.383,5416.81,6568.7,1.5765,1.6381,0.9637,617.848
3/13/2000,1383.62,6.37,5254.41,6466.9,1.5792,1.6288,0.9693,603.469
3/14/2000,1359.15,6.292,5258.32,6487.1,1.5776,1.6318,0.9631,601.291
3/15/2000,1392.15,6.291,5083.15,6447,1.5732,1.6265,0.9654,610.877
3/16/2000,1458.47,6.245,5175.23,6557.2,1.5771,1.6229,0.9686,635.713
3/17/2000,1464.47,6.194,5231.35,6558,1.5748,1.6278,0.9721,639.634
3/20/2000,1456.63,6.183,5286.71,6624.5,1.5689,1.6123,0.9718,639.198
3/21/2000,1493.87,6.135,5266.23,6617.9,1.5717,1.6144,0.9716,636.148
3/22/2000,1500.64,6.112,5268.35,6609.6,1.5795,1.6308,0.9607,647.913
3/23/2000,1527.35,6.078,5259.15,6594.6,1.5867,1.6391,0.9626,646.17
3/24/2000,1527.46,6.191,5379.75,6738.5,1.5941,1.6374,0.9779,673.184
3/27/2000,1523.86,6.185,5369.11,6687.2,1.5882,1.6409,0.9743,660.984
3/28/2000,1507.73,6.151,5426.57,6650.1,1.5893,1.642,0.9658,654.448
3/29/2000,1508.52,6.147,5416.32,6598.8,1.5936,1.6585,0.9567,655.32
3/30/2000,1487.92,6.055,5251.97,6445.2,1.5948,1.6636,0.9567,633.97
3/31/2000,1498.58,6.004,5249.55,6540.2,1.5911,1.6726,0.9555,645.734
4/3/2000,1505.97,5.965,5118.37,6462.1,1.5964,1.6695,0.9541,610.005
4/4/2000,1494.73,5.895,5176.71,6427,1.5932,1.6756,0.9542,611.748
4/5/2000,1487.37,5.872,5044.17,6379.3,1.5847,1.6482,0.9668,618.284
4/6/2000,1501.34,5.934,5179.96,6451.1,1.5815,1.6489,0.9633,617.412
4/7/2000,1516.35,5.853,5259.52,6569.9,1.5795,1.6536,0.9553,616.977
4/10/2000,1504.46,5.771,5282.26,6533.4,1.5855,1.6516,0.9564,617.848
4/11/2000,1500.59,5.882,5174.38,6379.2,1.5856,1.652,0.96,615.67
4/12/2000,1467.17,5.935,5179.28,6350.8,1.5886,1.6567,0.9566,619.155
4/13/2000,1440.51,5.906,5181.33,6357,1.5866,1.6597,0.9564,614.798
4/14/2000,1356.56,5.85,5034.25,6178.1,1.5868,1.6601,0.9622,614.362
4/17/2000,1401.44,6.038,4979.66,5994.6,1.5805,1.657,0.9585,604.341
4/18/2000,1441.61,6.059,5061.9,6074,1.5771,1.6652,0.9502,613.927
4/19/2000,1427.47,5.992,5078.69,6184.9,1.582,1.6688,0.9469,618.284
4/20/2000,1434.54,5.994,5117.78,6241.2,1.5793,1.6827,0.9395,623.077
4/21/2000,1434.54,5.987,5117.78,6241.2,1.5795,1.6881,0.9385,623.077
4/24/2000,1429.86,6.017,5117.78,6241.2,1.5785,1.6793,0.9398,623.077
4/25/2000,1477.44,6.128,5158.13,6283,1.5812,1.6898,0.9317,625.691
4/26/2000,1460.99,6.13,5245.11,6256.5,1.5756,1.7141,0.9194,619.155
4/27/2000,1464.92,6.223,5171.96,6179.3,1.572,1.7074,0.9212,613.927
4/28/2000,1452.43,6.212,5303.95,6327.4,1.5513,1.7298,0.9119,619.591
5/1/2000,1468.25,6.278,5309.29,6327.4,1.5536,1.7032,0.9132,619.591
5/2/2000,1446.29,6.299,5434.81,6373.4,1.5604,1.7199,0.9101,622.641
5/3/2000,1415.1,6.401,5316.94,6184.8,1.5611,1.7434,0.8963,612.62
5/4/2000,1409.57,6.427,5306.32,6199.6,1.5412,1.7396,0.8929,615.67
5/5/2000,1432.63,6.505,5351.71,6238.8,1.5303,1.7174,0.897,616.977
5/8/2000,1424.17,6.56,5285.09,6216.3,1.5332,1.712,0.8936,612.184
5/9/2000,1412.14,6.529,5182.73,6123.8,1.5311,1.7137,0.8957,613.055
5/10/2000,1383.05,6.42,5065.85,6100.6,1.5118,1.6736,0.9111,618.284
5/11/2000,1407.81,6.409,5171.77,6245.9,1.5035,1.6457,0.9101,624.384
5/12/2000,1420.96,6.512,5238.42,6283.5,1.5202,1.674,0.9197,634.405
5/15/2000,1452.36,6.446,5182.68,6247.7,1.5054,1.6544,0.9154,634.841
5/16/2000,1466.04,6.424,5335.02,6318.4,1.4932,1.6545,0.9073,640.941
5/17/2000,1447.8,6.496,5230.74,6196.2,1.4968,1.6677,0.8935,626.998
5/18/2000,1437.21,6.54,5247.13,6232.9,1.4835,1.6614,0.8923,626.562
5/19/2000,1406.95,6.494,5063.46,6045.4,1.487,1.6699,0.8975,626.998
5/22/2000,1400.72,6.439,4945.17,6035.5,1.4925,1.6522,0.8992,626.998
5/23/2000,1373.86,6.435,4984.7,6086.8,1.4769,1.626,0.9104,632.663
5/24/2000,1399.05,6.47,4903.92,6118.6,1.4753,1.6206,0.9104,633.098
5/25/2000,1381.52,6.394,5018.79,6231.1,1.4702,1.6372,0.9017,633.098
5/26/2000,1378.02,6.331,5007.97,6216.9,1.49,1.6135,0.9309,637.02
5/29/2000,1378.02,6.326,5084.69,6216.9,1.4925,1.6072,0.9266,637.02
5/30/2000,1422.45,6.376,5156.07,6359.6,1.4966,1.6024,0.9368,637.891
5/31/2000,1420.6,6.272,5200.89,6359.3,1.5014,1.6056,0.9308,643.12
6/1/2000,1448.81,6.191,5275.2,6470.5,1.4944,1.6036,0.9331,650.963
6/2/2000,1477.26,6.152,5428.27,6626.4,1.5098,1.6002,0.9463,661.856
6/5/2000,1467.63,6.122,5379.6,6546.7,1.5196,1.6014,0.9429,670.134
6/6/2000,1457.84,6.122,5325.87,6546.8,1.5284,1.6004,0.946,676.234
6/7/2000,1471.36,6.141,5272.37,6503.8,1.5224,1.5924,0.9566,673.62
6/8/2000,1461.67,6.124,5286.74,6496.6,1.5108,1.5842,0.958,671.006
6/9/2000,1456.95,6.126,5292.97,6443.8,1.5096,1.5803,0.9536,671.877
6/12/2000,1446,6.071,5294.65,6430.9,1.5131,1.5849,0.953,671.877
6/13/2000,1469.44,6.116,5305.34,6447.1,1.5068,1.5796,0.9577,676.67
6/14/2000,1470.54,6.041,5379.57,6536.3,1.499,1.5619,0.963,690.177
6/15/2000,1478.73,6.05,5338.49,6490.8,1.5121,1.5817,0.9524,682.77
6/16/2000,1464.46,5.971,5281.57,6526,1.5153,1.5789,0.965,674.927
6/19/2000,1486,5.999,5271.82,6490.2,1.5116,1.5709,0.9637,666.649
6/20/2000,1475.95,6.02,5312.13,6526.9,1.5186,1.5788,0.9541,665.341
